Parameter,Subject/Group-level,Map Estimate,"Sampling Estimate:
Posterior Mean","Sampling Estimate:
Posterior Standard Deviation",Gelman-Rubin diagnostic
mu_alpha,Group-level,0.500,0.776,0.080,1.010
sigma_alpha,Group-level,9.123,7.041,13.751,1.020
mu_beta,Group-level,-3.177,0.918,0.188,1.000
sigma_beta,Group-level,0.000,1.258,0.179,1.000
alpha,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.499,0.617,0.327,1.010
beta2,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,-0.057,0.033,0.509,1.000
beta_mb,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.095,0.555,0.972,1.000
beta_mf0,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,-0.378,-0.706,0.934,1.000
beta_mf1,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,-0.337,-0.415,0.890,1.000
beta_st,3018Q3ZVOIQGSXZ9L4SKHNWVPJAART,0.059,0.298,0.585,1.000
alpha,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,0.487,0.855,0.121,1.000
beta2,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,1.034,1.397,0.598,1.000
beta_mb,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,0.339,0.723,0.769,1.010
beta_mf0,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,1.088,1.439,1.134,1.000
beta_mf1,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,1.025,1.926,1.044,1.000
beta_st,30BXRYBRP4X0AGO9Q4CIL8RGUTGWHU,-0.030,0.176,0.800,1.000
alpha,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,0.495,0.776,0.204,1.010
beta2,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,0.205,0.247,0.466,1.000
beta_mb,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,-0.366,-0.709,0.801,1.000
beta_mf0,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,-0.525,-0.285,0.860,1.000
beta_mf1,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,-0.330,0.148,0.921,1.000
beta_st,30LB5CDZNCATTBNI3JP4EKMHPWMZ0P,-0.030,0.074,0.512,1.000
alpha,30LSNF239UVEUV1MI25WXDC6P1A2IO,0.510,0.891,0.092,1.010
beta2,30LSNF239UVEUV1MI25WXDC6P1A2IO,1.176,2.635,0.846,1.000
beta_mb,30LSNF239UVEUV1MI25WXDC6P1A2IO,0.737,0.775,0.851,1.000
beta_mf0,30LSNF239UVEUV1MI25WXDC6P1A2IO,0.861,1.320,1.004,1.000
beta_mf1,30LSNF239UVEUV1MI25WXDC6P1A2IO,0.997,1.236,1.009,1.000
beta_st,30LSNF239UVEUV1MI25WXDC6P1A2IO,-0.047,-0.566,0.888,1.000
alpha,30LSNF239UVEUV1MI25WXDC6P1C2IQ,0.430,0.704,0.233,1.010
beta2,30LSNF239UVEUV1MI25WXDC6P1C2IQ,0.716,1.557,0.669,1.000
beta_mb,30LSNF239UVEUV1MI25WXDC6P1C2IQ,0.396,0.506,1.087,1.000
beta_mf0,30LSNF239UVEUV1MI25WXDC6P1C2IQ,1.603,1.628,1.025,1.000
beta_mf1,30LSNF239UVEUV1MI25WXDC6P1C2IQ,1.109,1.766,1.109,1.000
beta_st,30LSNF239UVEUV1MI25WXDC6P1C2IQ,0.064,0.847,1.003,1.000
alpha,30OG32W0SUBY3COT82DP4MHC91HEN2,0.427,0.778,0.180,1.010
beta2,30OG32W0SUBY3COT82DP4MHC91HEN2,0.960,1.486,0.685,1.000
beta_mb,30OG32W0SUBY3COT82DP4MHC91HEN2,0.395,0.193,0.713,1.010
beta_mf0,30OG32W0SUBY3COT82DP4MHC91HEN2,1.504,1.185,1.061,1.000
beta_mf1,30OG32W0SUBY3COT82DP4MHC91HEN2,1.064,1.829,1.043,1.000
beta_st,30OG32W0SUBY3COT82DP4MHC91HEN2,-0.031,-0.110,0.943,1.000
alpha,30ZX6P7VF8VAP6LS0KQW9ER63EQ2JO,0.499,0.856,0.125,1.000
beta2,30ZX6P7VF8VAP6LS0KQW9ER63EQ2JO,0.884,1.229,0.574,1.000
beta_mb,30ZX6P7VF8VAP6LS0KQW9ER63EQ2JO,0.099,0.724,0.775,1.000
beta_mf0,30ZX6P7VF8VAP6LS0KQW9ER63EQ2JO,-0.036,-0.193,0.934,1.000
beta_mf1,30ZX6P7VF8VAP6LS0KQW9ER63EQ2JO,-0.024,-0.247,0.958,1.000
beta_st,30ZX6P7VF8VAP6LS0KQW9ER63EQ2JO,0.129,0.295,0.527,1.000
alpha,3137ONMDKG5STK77LY0UE28F88LGEO,0.448,0.860,0.107,1.010
beta2,3137ONMDKG5STK77LY0UE28F88LGEO,1.655,2.021,0.687,1.000
beta_mb,3137ONMDKG5STK77LY0UE28F88LGEO,0.010,0.563,0.773,1.000
beta_mf0,3137ONMDKG5STK77LY0UE28F88LGEO,1.628,1.855,1.036,1.000
beta_mf1,3137ONMDKG5STK77LY0UE28F88LGEO,1.200,1.841,1.124,1.000
beta_st,3137ONMDKG5STK77LY0UE28F88LGEO,-0.054,-0.068,0.938,1.000
alpha,31JLPPHS2UUDBZ88KXW60KDK8RZO3D,0.408,0.824,0.114,1.000
beta2,31JLPPHS2UUDBZ88KXW60KDK8RZO3D,1.248,2.513,0.825,1.000
beta_mb,31JLPPHS2UUDBZ88KXW60KDK8RZO3D,0.378,0.242,0.774,1.000
beta_mf0,31JLPPHS2UUDBZ88KXW60KDK8RZO3D,1.813,1.789,1.025,1.000
beta_mf1,31JLPPHS2UUDBZ88KXW60KDK8RZO3D,1.243,1.903,1.104,1.000
beta_st,31JLPPHS2UUDBZ88KXW60KDK8RZO3D,0.019,0.216,1.073,1.000
alpha,31N2WW6R9RQJ5MVFLUDGDQ46GLZ3FN,0.455,0.925,0.075,1.020
beta2,31N2WW6R9RQJ5MVFLUDGDQ46GLZ3FN,0.696,1.968,0.700,1.000
beta_mb,31N2WW6R9RQJ5MVFLUDGDQ46GLZ3FN,0.821,0.995,0.748,1.000
beta_mf0,31N2WW6R9RQJ5MVFLUDGDQ46GLZ3FN,1.347,1.495,1.085,1.000
beta_mf1,31N2WW6R9RQJ5MVFLUDGDQ46GLZ3FN,1.113,1.668,1.094,1.000
beta_st,31N2WW6R9RQJ5MVFLUDGDQ46GLZ3FN,-0.016,-0.028,0.882,1.000
alpha,31Q0U3WYDPFAGQ2UG71L15CSKD917W,0.478,0.867,0.118,1.010
beta2,31Q0U3WYDPFAGQ2UG71L15CSKD917W,1.761,2.775,0.846,1.000
beta_mb,31Q0U3WYDPFAGQ2UG71L15CSKD917W,0.609,0.669,0.815,1.000
beta_mf0,31Q0U3WYDPFAGQ2UG71L15CSKD917W,0.965,0.649,0.959,1.000
beta_mf1,31Q0U3WYDPFAGQ2UG71L15CSKD917W,0.902,0.895,0.975,1.000
beta_st,31Q0U3WYDPFAGQ2UG71L15CSKD917W,0.096,0.237,0.853,1.000
alpha,31QNSG6A5RTSRQMFFSA0GFZ0XF3872,0.455,0.718,0.182,1.010
beta2,31QNSG6A5RTSRQMFFSA0GFZ0XF3872,0.901,1.522,0.654,1.000
beta_mb,31QNSG6A5RTSRQMFFSA0GFZ0XF3872,0.292,0.385,0.821,1.000
beta_mf0,31QNSG6A5RTSRQMFFSA0GFZ0XF3872,1.586,1.631,1.016,1.000
beta_mf1,31QNSG6A5RTSRQMFFSA0GFZ0XF3872,1.161,1.772,1.064,1.000
beta_st,31QNSG6A5RTSRQMFFSA0GFZ0XF3872,-0.013,0.420,0.996,1.000
alpha,31QTRG6Q2TDWC2HXOI2BFEENRCZYPD,0.461,0.681,0.156,1.020
beta2,31QTRG6Q2TDWC2HXOI2BFEENRCZYPD,1.114,1.757,0.660,1.000
beta_mb,31QTRG6Q2TDWC2HXOI2BFEENRCZYPD,0.095,-0.515,0.850,1.000
beta_mf0,31QTRG6Q2TDWC2HXOI2BFEENRCZYPD,1.150,1.181,0.912,1.000
beta_mf1,31QTRG6Q2TDWC2HXOI2BFEENRCZYPD,0.647,0.855,0.998,1.000
beta_st,31QTRG6Q2TDWC2HXOI2BFEENRCZYPD,0.037,0.663,0.970,1.000
alpha,31T4R4OBOSGU3TCSW4Q5I1VJNDM7CJ,0.490,0.895,0.100,1.000
beta2,31T4R4OBOSGU3TCSW4Q5I1VJNDM7CJ,0.763,1.517,0.619,1.000
beta_mb,31T4R4OBOSGU3TCSW4Q5I1VJNDM7CJ,0.911,2.081,0.980,1.000
beta_mf0,31T4R4OBOSGU3TCSW4Q5I1VJNDM7CJ,1.000,0.666,1.049,1.000
beta_mf1,31T4R4OBOSGU3TCSW4Q5I1VJNDM7CJ,1.128,0.780,1.005,1.000
beta_st,31T4R4OBOSGU3TCSW4Q5I1VJNDM7CJ,-0.033,-0.491,0.931,1.000
alpha,31UV0MXWNQC6TSK90L7UVKFIAEKI5V,0.481,0.794,0.094,1.010
beta2,31UV0MXWNQC6TSK90L7UVKFIAEKI5V,1.194,2.512,0.848,1.000
